filename,width,height,class,xmin,ymin,xmax,ymax
Vegas_217.jpg,650,650,parking lot,5,494,146,609
Vegas_437.jpg,650,650,parking lot,371,279,396,364
Vegas_437.jpg,650,650,parking lot,392,383,437,428
Vegas_437.jpg,650,650,parking lot,465,417,562,438
Vegas_437.jpg,650,650,parking lot,320,358,356,388
Vegas_437.jpg,650,650,parking lot,323,281,344,315
Vegas_208.jpg,650,650,parking lot,247,1,269,185
Vegas_208.jpg,650,650,parking lot,524,9,600,28
Vegas_208.jpg,650,650,parking lot,608,7,650,30
Vegas_208.jpg,650,650,parking lot,542,133,650,155
Vegas_208.jpg,650,650,parking lot,269,323,294,440
Vegas_208.jpg,650,650,parking lot,270,450,295,493
Vegas_208.jpg,650,650,parking lot,380,496,419,516
Vegas_208.jpg,650,650,parking lot,430,496,506,516
Vegas_208.jpg,650,650,parking lot,526,496,603,516
Vegas_208.jpg,650,650,parking lot,424,579,558,600
Vegas_208.jpg,650,650,parking lot,269,268,294,314
Vegas_208.jpg,650,650,parking lot,293,204,396,224
Vegas_43.jpg,650,650,parking lot,415,115,445,323
Vegas_43.jpg,650,650,parking lot,472,242,497,298
Vegas_43.jpg,650,650,parking lot,499,243,520,285
Vegas_43.jpg,650,650,parking lot,412,6,440,107
Vegas_43.jpg,650,650,parking lot,467,73,507,125
Vegas_43.jpg,650,650,parking lot,463,2,490,60
Shanghai_783.jpg,650,650,parking lot,599,551,650,646
Shanghai_783.jpg,650,650,parking lot,505,563,578,621
Shanghai_525.jpg,650,650,parking lot,447,50,532,81
Shanghai_525.jpg,650,650,parking lot,568,15,649,44
Shanghai_891.jpg,650,650,parking lot,315,382,370,399
Shanghai_891.jpg,650,650,parking lot,375,364,442,383
Shanghai_891.jpg,650,650,parking lot,517,343,580,367
Shanghai_891.jpg,650,650,parking lot,591,327,646,352
Vegas_422.jpg,650,650,parking lot,64,145,285,165
Vegas_422.jpg,650,650,parking lot,238,105,330,129
Vegas_422.jpg,650,650,parking lot,136,106,225,129
Vegas_422.jpg,650,650,parking lot,88,44,116,94
Vegas_422.jpg,650,650,parking lot,38,40,67,149
Vegas_422.jpg,650,650,parking lot,446,114,574,144
Vegas_422.jpg,650,650,parking lot,593,50,620,106
Vegas_422.jpg,650,650,parking lot,119,271,315,299
Vegas_422.jpg,650,650,parking lot,382,309,426,380
Vegas_422.jpg,650,650,parking lot,456,278,483,384
Vegas_422.jpg,650,650,parking lot,547,272,644,297
Vegas_422.jpg,650,650,parking lot,237,321,264,399
Vegas_422.jpg,650,650,parking lot,48,569,468,588
Vegas_422.jpg,650,650,parking lot,85,604,342,630
Vegas_422.jpg,650,650,parking lot,382,607,476,634
Shanghai_778.jpg,650,650,parking lot,97,85,249,115
Vegas_271.jpg,650,650,parking lot,8,96,170,116
Vegas_271.jpg,650,650,parking lot,6,75,169,98
Vegas_271.jpg,650,650,parking lot,267,23,454,48
Vegas_271.jpg,650,650,parking lot,249,67,477,87
Vegas_271.jpg,650,650,parking lot,256,91,488,111
Vegas_271.jpg,650,650,parking lot,288,169,352,191
Vegas_271.jpg,650,650,parking lot,362,168,426,189
Vegas_271.jpg,650,650,parking lot,432,167,499,187
Vegas_271.jpg,650,650,parking lot,539,256,569,569
Vegas_271.jpg,650,650,parking lot,318,539,363,557
Vegas_271.jpg,650,650,parking lot,369,539,431,557
Vegas_271.jpg,650,650,parking lot,447,537,506,556
Vegas_271.jpg,650,650,parking lot,447,516,501,535
Vegas_271.jpg,650,650,parking lot,374,519,431,537
Vegas_271.jpg,650,650,parking lot,317,518,356,540
Vegas_271.jpg,650,650,parking lot,6,545,152,567
Vegas_271.jpg,650,650,parking lot,8,523,151,546
Vegas_271.jpg,650,650,parking lot,12,487,137,505
Vegas_271.jpg,650,650,parking lot,27,467,136,485
Vegas_271.jpg,650,650,parking lot,295,416,355,437
Vegas_271.jpg,650,650,parking lot,293,396,353,415
Vegas_271.jpg,650,650,parking lot,367,395,431,415
Vegas_271.jpg,650,650,parking lot,367,419,431,437
Vegas_271.jpg,650,650,parking lot,442,416,504,434
Vegas_271.jpg,650,650,parking lot,440,395,501,414
Vegas_271.jpg,650,650,parking lot,290,355,355,374
Vegas_271.jpg,650,650,parking lot,290,332,351,353
Vegas_271.jpg,650,650,parking lot,366,335,430,355
Vegas_271.jpg,650,650,parking lot,365,356,431,375
Vegas_271.jpg,650,650,parking lot,440,332,506,355
Vegas_271.jpg,650,650,parking lot,440,356,505,375
Vegas_271.jpg,650,650,parking lot,438,294,504,311
Vegas_271.jpg,650,650,parking lot,440,266,503,287
Vegas_271.jpg,650,650,parking lot,434,228,502,246
Vegas_271.jpg,650,650,parking lot,435,208,503,228
Vegas_271.jpg,650,650,parking lot,359,207,424,226
Vegas_271.jpg,650,650,parking lot,359,225,426,244
Vegas_271.jpg,650,650,parking lot,285,228,353,249
Vegas_271.jpg,650,650,parking lot,285,207,354,227
Vegas_271.jpg,650,650,parking lot,293,457,358,479
Vegas_271.jpg,650,650,parking lot,293,480,359,498
Vegas_271.jpg,650,650,parking lot,370,457,433,475
Vegas_271.jpg,650,650,parking lot,371,477,434,494
Vegas_271.jpg,650,650,parking lot,441,456,508,475
Vegas_271.jpg,650,650,parking lot,442,478,510,494
Vegas_271.jpg,650,650,parking lot,279,583,318,603
Vegas_50.jpg,650,650,parking lot,339,73,467,107
Vegas_50.jpg,650,650,parking lot,308,240,439,278
Vegas_50.jpg,650,650,parking lot,353,297,429,328
Vegas_50.jpg,650,650,parking lot,509,265,596,292
Vegas_50.jpg,650,650,parking lot,514,314,626,350
Vegas_50.jpg,650,650,parking lot,611,214,640,253
Vegas_50.jpg,650,650,parking lot,359,44,427,73
Vegas_50.jpg,650,650,parking lot,437,53,555,85
Vegas_50.jpg,650,650,parking lot,563,68,619,91
Vegas_50.jpg,650,650,parking lot,462,14,540,42
Vegas_50.jpg,650,650,parking lot,404,10,437,30
Vegas_50.jpg,650,650,parking lot,16,161,47,235
Vegas_50.jpg,650,650,parking lot,27,94,53,160
Vegas_50.jpg,650,650,parking lot,90,90,110,123
Vegas_358.jpg,650,650,parking lot,61,225,88,305
Vegas_358.jpg,650,650,parking lot,61,315,91,386
Vegas_358.jpg,650,650,parking lot,67,406,93,462
Vegas_358.jpg,650,650,parking lot,307,428,363,450
Vegas_358.jpg,650,650,parking lot,369,476,459,513
Vegas_358.jpg,650,650,parking lot,504,521,640,583
Vegas_358.jpg,650,650,parking lot,53,6,75,72
Vegas_358.jpg,650,650,parking lot,124,70,187,142
Vegas_358.jpg,650,650,parking lot,123,160,185,232
Vegas_358.jpg,650,650,parking lot,222,6,316,25
Vegas_358.jpg,650,650,parking lot,208,456,324,479
Vegas_33.jpg,650,650,parking lot,110,103,162,122
Vegas_33.jpg,650,650,parking lot,390,102,449,120
Vegas_33.jpg,650,650,parking lot,574,5,598,110
Vegas_33.jpg,650,650,parking lot,605,101,648,123
Vegas_33.jpg,650,650,parking lot,613,178,635,239
Vegas_33.jpg,650,650,parking lot,570,180,596,240
Vegas_33.jpg,650,650,parking lot,570,248,597,335
Vegas_33.jpg,650,650,parking lot,519,170,543,203
Vegas_33.jpg,650,650,parking lot,150,262,174,337
Vegas_33.jpg,650,650,parking lot,180,329,222,349
Vegas_33.jpg,650,650,parking lot,520,383,541,414
Vegas_33.jpg,650,650,parking lot,571,385,595,458
Vegas_33.jpg,650,650,parking lot,522,64,542,110
Vegas_33.jpg,650,650,parking lot,338,372,381,392
Vegas_594.jpg,650,650,parking lot,517,183,544,354
Shanghai_712.jpg,650,650,parking lot,116,531,195,554
Vegas_436.jpg,650,650,parking lot,34,283,129,329
Vegas_436.jpg,650,650,parking lot,149,318,217,358
Vegas_436.jpg,650,650,parking lot,182,281,262,309
Vegas_436.jpg,650,650,parking lot,270,306,309,336
Vegas_436.jpg,650,650,parking lot,74,244,160,277
Vegas_436.jpg,650,650,parking lot,8,216,62,251
Vegas_436.jpg,650,650,parking lot,93,558,125,612
Vegas_436.jpg,650,650,parking lot,7,580,62,620
Vegas_436.jpg,650,650,parking lot,387,486,624,650
Vegas_436.jpg,650,650,parking lot,344,409,457,481
Vegas_436.jpg,650,650,parking lot,497,405,579,464
Vegas_436.jpg,650,650,parking lot,555,9,592,213
Vegas_436.jpg,650,650,parking lot,419,27,451,146
Vegas_436.jpg,650,650,parking lot,484,7,529,54
Vegas_436.jpg,650,650,parking lot,614,31,646,240
Vegas_570.jpg,650,650,parking lot,3,21,104,39
Vegas_570.jpg,650,650,parking lot,147,16,265,40
Vegas_570.jpg,650,650,parking lot,562,75,621,99
Vegas_360.jpg,650,650,parking lot,1,293,77,317
Vegas_360.jpg,650,650,parking lot,157,293,314,316
Vegas_360.jpg,650,650,parking lot,426,299,484,319
Vegas_360.jpg,650,650,parking lot,340,307,374,368
Vegas_360.jpg,650,650,parking lot,351,382,379,426
Vegas_360.jpg,650,650,parking lot,347,442,375,492
Vegas_360.jpg,650,650,parking lot,353,503,374,552
Vegas_360.jpg,650,650,parking lot,348,562,378,617
Vegas_360.jpg,650,650,parking lot,353,625,372,650
Vegas_360.jpg,650,650,parking lot,406,448,442,476
Vegas_360.jpg,650,650,parking lot,487,454,550,479
Vegas_360.jpg,650,650,parking lot,559,464,625,480
Vegas_360.jpg,650,650,parking lot,499,417,581,440
Vegas_360.jpg,650,650,parking lot,610,417,650,437
Vegas_360.jpg,650,650,parking lot,406,520,476,546
Vegas_360.jpg,650,650,parking lot,484,523,551,548
Vegas_360.jpg,650,650,parking lot,562,521,622,544
Vegas_360.jpg,650,650,parking lot,408,554,472,572
Vegas_360.jpg,650,650,parking lot,487,556,547,578
Vegas_360.jpg,650,650,parking lot,565,558,625,578
Vegas_360.jpg,650,650,parking lot,412,587,473,615
Vegas_360.jpg,650,650,parking lot,485,593,550,613
Vegas_360.jpg,650,650,parking lot,557,593,626,615
Vegas_360.jpg,650,650,parking lot,445,618,469,642
Vegas_360.jpg,650,650,parking lot,484,624,550,645
Vegas_360.jpg,650,650,parking lot,558,624,622,644
Vegas_360.jpg,650,650,parking lot,123,362,155,555
Vegas_360.jpg,650,650,parking lot,73,350,96,417
Vegas_360.jpg,650,650,parking lot,41,348,68,418
Vegas_360.jpg,650,650,parking lot,73,426,100,521
Vegas_360.jpg,650,650,parking lot,48,430,71,531
Vegas_360.jpg,650,650,parking lot,1,348,21,415
Vegas_360.jpg,650,650,parking lot,1,426,25,536
Shanghai_588.jpg,650,650,parking lot,227,558,268,577
Shanghai_588.jpg,650,650,parking lot,272,532,336,552
Shanghai_588.jpg,650,650,parking lot,344,499,423,534
Shanghai_588.jpg,650,650,parking lot,580,425,650,448
Shanghai_588.jpg,650,650,parking lot,186,582,214,644
Vegas_476.jpg,650,650,parking lot,81,5,112,140
Vegas_476.jpg,650,650,parking lot,90,148,124,279
Vegas_476.jpg,650,650,parking lot,101,286,124,365
Vegas_476.jpg,650,650,parking lot,6,400,116,421
Vegas_476.jpg,650,650,parking lot,162,400,250,420
Vegas_476.jpg,650,650,parking lot,157,358,253,380
Vegas_476.jpg,650,650,parking lot,137,4,160,209
Vegas_476.jpg,650,650,parking lot,168,5,191,107
Vegas_476.jpg,650,650,parking lot,168,111,196,223
Vegas_476.jpg,650,650,parking lot,213,4,247,230
Vegas_476.jpg,650,650,parking lot,535,388,634,412
Vegas_476.jpg,650,650,parking lot,469,297,497,380
Vegas_476.jpg,650,650,parking lot,455,134,489,248
Vegas_476.jpg,650,650,parking lot,517,121,629,145
Vegas_476.jpg,650,650,parking lot,517,55,630,103
Vegas_476.jpg,650,650,parking lot,453,4,481,97
Vegas_476.jpg,650,650,parking lot,519,232,607,252
Vegas_476.jpg,650,650,parking lot,502,16,603,40
Vegas_476.jpg,650,650,parking lot,473,509,501,616
Vegas_476.jpg,650,650,parking lot,535,599,650,620
Vegas_476.jpg,650,650,parking lot,527,506,553,596
Vegas_476.jpg,650,650,parking lot,208,526,241,570
Vegas_476.jpg,650,650,parking lot,221,577,239,621
Vegas_449.jpg,650,650,parking lot,477,268,650,293
Vegas_449.jpg,650,650,parking lot,532,16,575,93
Vegas_449.jpg,650,650,parking lot,564,111,621,213
Vegas_449.jpg,650,650,parking lot,406,98,509,121
Vegas_449.jpg,650,650,parking lot,410,161,461,230
Vegas_449.jpg,650,650,parking lot,4,117,116,148
Vegas_449.jpg,650,650,parking lot,4,168,98,196
Vegas_449.jpg,650,650,parking lot,140,209,188,289
Vegas_449.jpg,650,650,parking lot,100,196,127,251
Vegas_449.jpg,650,650,parking lot,199,4,223,113
Vegas_610.jpg,650,650,parking lot,121,415,147,572
Vegas_610.jpg,650,650,parking lot,167,416,190,568
Vegas_610.jpg,650,650,parking lot,333,56,411,86
Vegas_610.jpg,650,650,parking lot,466,68,545,89
Vegas_610.jpg,650,650,parking lot,563,75,642,101
Vegas_610.jpg,650,650,parking lot,253,7,277,43
Vegas_580.jpg,650,650,parking lot,171,541,460,562
Vegas_580.jpg,650,650,parking lot,61,346,90,503
Vegas_580.jpg,650,650,parking lot,58,290,88,337
Vegas_580.jpg,650,650,parking lot,61,248,86,281
Vegas_580.jpg,650,650,parking lot,92,132,112,200
Vegas_580.jpg,650,650,parking lot,121,31,148,220
Vegas_580.jpg,650,650,parking lot,133,238,164,501
Vegas_580.jpg,650,650,parking lot,172,497,368,528
Vegas_580.jpg,650,650,parking lot,176,254,237,479
Vegas_580.jpg,650,650,parking lot,153,224,238,239
Vegas_580.jpg,650,650,parking lot,253,230,311,483
Vegas_580.jpg,650,650,parking lot,380,456,630,474
Vegas_580.jpg,650,650,parking lot,584,495,650,514
Vegas_580.jpg,650,650,parking lot,402,368,607,389
Vegas_580.jpg,650,650,parking lot,599,113,627,361
Vegas_580.jpg,650,650,parking lot,513,145,579,349
Vegas_580.jpg,650,650,parking lot,429,148,488,349
Vegas_580.jpg,650,650,parking lot,378,136,410,346
Vegas_580.jpg,650,650,parking lot,391,106,584,126
Vegas_580.jpg,650,650,parking lot,341,15,645,64
Vegas_580.jpg,650,650,parking lot,168,4,196,86
Vegas_580.jpg,650,650,parking lot,333,246,356,451
Vegas_580.jpg,650,650,parking lot,323,106,349,204
Vegas_580.jpg,650,650,parking lot,200,137,230,217
Vegas_188.jpg,650,650,parking lot,543,594,595,646
Vegas_188.jpg,650,650,parking lot,619,589,648,626
Vegas_221.jpg,650,650,parking lot,372,63,395,119
Vegas_221.jpg,650,650,parking lot,372,148,396,219
Vegas_221.jpg,650,650,parking lot,310,59,335,221
Vegas_221.jpg,650,650,parking lot,247,265,272,466
Vegas_221.jpg,650,650,parking lot,224,257,246,468
Vegas_221.jpg,650,650,parking lot,304,293,324,492
Vegas_221.jpg,650,650,parking lot,135,291,158,502
Vegas_221.jpg,650,650,parking lot,167,294,192,501
Vegas_221.jpg,650,650,parking lot,79,292,104,502
Vegas_221.jpg,650,650,parking lot,47,293,71,503
Vegas_221.jpg,650,650,parking lot,282,553,306,648
Vegas_221.jpg,650,650,parking lot,230,553,253,610
Vegas_221.jpg,650,650,parking lot,206,562,226,610
Vegas_221.jpg,650,650,parking lot,153,562,174,647
Vegas_221.jpg,650,650,parking lot,127,553,151,647
Vegas_221.jpg,650,650,parking lot,74,553,98,650
Vegas_221.jpg,650,650,parking lot,49,562,73,648
Vegas_221.jpg,650,650,parking lot,547,509,574,591
Vegas_221.jpg,650,650,parking lot,602,492,626,599
Vegas_221.jpg,650,650,parking lot,628,493,649,608
Shanghai_808.jpg,650,650,parking lot,211,523,292,595
Vegas_469.jpg,650,650,parking lot,541,103,646,138
Vegas_469.jpg,650,650,parking lot,555,55,650,75
Vegas_469.jpg,650,650,parking lot,478,98,502,228
Vegas_469.jpg,650,650,parking lot,553,224,650,262
Vegas_469.jpg,650,650,parking lot,544,166,650,198
Vegas_266.jpg,650,650,parking lot,498,449,535,507
Vegas_393.jpg,650,650,parking lot,343,272,593,313
Vegas_393.jpg,650,650,parking lot,540,172,569,243
Vegas_393.jpg,650,650,parking lot,408,175,436,242
Vegas_393.jpg,650,650,parking lot,461,204,515,236
Vegas_393.jpg,650,650,parking lot,2,290,25,470
